"Poverty rate by state, 2018",,,,,
From https://www.epi.org/blog/poverty-continues-to-fall-in-most-states-though-progress-appears-to-be-slowing/,,,,,
,,,,,
State  ,"Change in poverty rate, 2000 to 2018",Change 2007 to 2018,"Change in poverty rate, 2017 to 2018",2018 poverty rate relative to national average,"Poverty rate, 2018"
Alabama  ,1.20%,-0.10%,-0.10%,3.70%,16.80%
Alaska  ,1.80%,2.00%,-0.20%,-2.20%,10.90%
Arizona  ,-1.60%,-0.20%,-0.90%,0.90%,14.00%
Arkansas  ,0.20%,-0.70%,0.80%,4.10%,17.20%
California  ,-0.90%,0.40%,-0.50%,-0.30%,12.80%
Colorado  ,0.90%,-2.40%,-0.70%,-3.50%,9.60%
Connecticut  ,2.70%,2.50%,0.80%,-2.70%,10.40%
Delaware  ,3.20%,2.00%,-1.10%,-0.60%,12.50%
DC  ,-1.30%,-0.20%,-0.40%,3.10%,16.20%
Florida  ,0.80%,1.50%,-0.40%,0.50%,13.60%
Georgia  ,1.70%,0.00%,-0.60%,1.20%,14.30%
Hawaii  ,0.00%,0.80%,-0.70%,-4.30%,8.80%
Idaho  ,0.40%,-0.30%,-1.00%,-1.30%,11.80%
Illinois  ,1.00%,0.20%,-0.50%,-1.00%,12.10%
Indiana  ,3.00%,0.80%,-0.40%,0.00%,13.10%
Iowa  ,1.20%,0.20%,0.50%,-1.90%,11.20%
Kansas  ,2.50%,0.80%,0.10%,-1.10%,12.00%
Kentucky  ,0.50%,-0.40%,-0.30%,3.80%,16.90%
Louisiana  ,-1.40%,0.00%,-1.10%,5.50%,18.60%
Maine  ,1.50%,-0.40%,0.50%,-1.50%,11.60%
Maryland  ,-0.30%,0.70%,-0.30%,-4.10%,9.00%
Massachusetts  ,0.40%,0.10%,-0.50%,-3.10%,10.00%
Michigan  ,4.00%,0.10%,-0.10%,1.00%,14.10%
Minnesota  ,2.70%,0.10%,0.10%,-3.50%,9.60%
Mississippi  ,1.50%,-0.90%,-0.10%,6.60%,19.70%
Missouri  ,2.00%,0.20%,-0.20%,0.10%,13.20%
Montana  ,-0.40%,-1.10%,0.50%,-0.10%,13.00%
Nebraska  ,1.40%,-0.20%,0.20%,-2.10%,11.00%
Nevada  ,3.00%,2.20%,-0.10%,-0.20%,12.90%
New Hampshire  ,2.30%,0.50%,-0.10%,-5.50%,7.60%
New Jersey  ,1.60%,0.90%,-0.50%,-3.60%,9.50%
New Mexico  ,1.50%,1.40%,-0.20%,6.40%,19.50%
New York  ,0.50%,-0.10%,-0.50%,0.50%,13.60%
North Carolina  ,0.90%,-0.30%,-0.70%,0.90%,14.00%
North Dakota  ,-0.90%,-1.40%,0.40%,-2.40%,10.70%
Ohio  ,2.80%,0.80%,-0.10%,0.80%,13.90%
Oklahoma  ,1.80%,-0.30%,-0.20%,2.50%,15.60%
Oregon  ,-0.60%,-0.30%,-0.60%,-0.50%,12.60%
Pennsylvania  ,1.70%,0.60%,-0.30%,-0.90%,12.20%
Rhode Island  ,2.20%,0.90%,1.30%,-0.20%,12.90%
South Carolina  ,0.90%,0.30%,-0.10%,2.20%,15.30%
South Dakota  ,1.60%,0.00%,0.10%,0.00%,13.10%
Tennessee  ,1.80%,-0.60%,0.30%,2.20%,15.30%
Texas  ,-0.20%,-1.40%,0.20%,1.80%,14.90%
Utah  ,0.20%,-0.70%,-0.70%,-4.10%,9.00%
Vermont  ,0.30%,0.90%,-0.30%,-2.10%,11.00%
Virginia  ,1.50%,0.80%,0.10%,-2.40%,10.70%
Washington  ,-1.30%,-1.10%,-0.70%,-2.80%,10.30%
West Virginia  ,-0.80%,0.90%,-1.30%,4.70%,17.80%
Wisconsin  ,2.10%,0.20%,-0.30%,-2.10%,11.00%
Wyoming  ,-0.30%,2.40%,-0.20%,-2.00%,11.10%
,,,,,
Source: EPI Analysis of American Community Survey data ,,,,,
